Цифр. код;Букв. код;Единиц;Валюта;Курс
Австралийский доллар;AUD;1;Австралийский доллар;51,4361
Азербайджанский манат;AZN;1;Азербайджанский манат;46,1932
Армянских драмов;AMD;100;Армянских драмов;20,4251
Батов;THB;10;Батов;24,1403
Белорусский рубль;BYN;1;Белорусский рубль;26,4780
Болгарский лев;BGN;1;Болгарский лев;46,9926
Бразильский реал;BRL;1;Бразильский реал;14,3415
Вон;KRW;1000;Вон;57,8947
Гонконгский доллар;HKD;1;Гонконгский доллар;10,0215
Гривен;UAH;10;Гривен;18,7962
Датская крона;DKK;1;Датская крона;12,3182
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,3828
Доллар США;USD;1;Доллар США;78,5284
Донгов;VND;10000;Донгов;31,3462
Евро;EUR;1;Евро;92,2672
Египетских фунтов;EGP;10;Египетских фунтов;15,8332
Злотый;PLN;1;Злотый;21,7145
Иен;JPY;100;Иен;54,2548
Индийских рупий;INR;100;Индийских рупий;91,7989
Канадский доллар;CAD;1;Канадский доллар;57,4206
Катарский риал;QAR;1;Катарский риал;21,5737
Лари;GEL;1;Лари;28,8326
Молдавских леев;MDL;10;Молдавских леев;46,6121
Новозеландский доллар;NZD;1;Новозеландский доллар;47,6510
Новый туркменский манат;TMT;1;Новый туркменский манат;22,4367
Норвежских крон;NOK;10;Норвежских крон;77,9423
Румынский лей;RON;1;Румынский лей;18,1238
Рупий;IDR;10000;Рупий;48,3758
Рэндов;ZAR;10;Рэндов;44,1771
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);107,8493
Сербских динаров;RSD;100;Сербских динаров;78,6195
Сингапурский доллар;SGD;1;Сингапурский доллар;61,5523
Сомов;KGS;100;Сомов;89,8194
Сомони;TJS;10;Сомони;79,3200
Тенге;KZT;100;Тенге;15,0903
Турецких лир;TRY;10;Турецких лир;19,7416
Узбекских сумов;UZS;10000;Узбекских сумов;62,0575
Форинтов;HUF;100;Форинтов;23,0688
Фунт стерлингов;GBP;1;Фунт стерлингов;107,7017
Чешских крон;CZK;10;Чешских крон;37,1697
Шведских крон;SEK;10;Шведских крон;82,6652
Швейцарский франк;CHF;1;Швейцарский франк;98,4435
Юань;CNY;1;Юань;10,9298
