DigitalCode;LetterCode;Units;Currency;Rate
Австралийский доллар;AUD;1;Австралийский доллар;51,7763
Азербайджанский манат;AZN;1;Азербайджанский манат;46,343
Армянских драмов;AMD;100;Армянских драмов;20,4919
Батов;THB;10;Батов;24,3571
Белорусский рубль;BYN;1;Белорусский рубль;26,563
Болгарский лев;BGN;1;Болгарский лев;47,3505
Бразильский реал;BRL;1;Бразильский реал;14,4532
Вон;KRW;1000;Вон;57,9543
Гонконгский доллар;HKD;1;Гонконгский доллар;10,054
Гривен;UAH;10;Гривен;18,882
Датская крона;DKK;1;Датская крона;12,4123
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,4522
Доллар США;USD;1;Доллар США;78,7831
Донгов;VND;10000;Донгов;31,3989
Евро;EUR;1;Евро;93,1277
Египетских фунтов;EGP;10;Египетских фунтов;15,9666
Злотый;PLN;1;Злотый;21,8012
Иен;JPY;100;Иен;54,8782
Индийских рупий;INR;100;Индийских рупий;92,1309
Канадский доллар;CAD;1;Канадский доллар;57,8352
Катарский риал;QAR;1;Катарский риал;21,6437
Лари;GEL;1;Лари;28,9612
Молдавских леев;MDL;10;Молдавских леев;46,9238
Новозеландский доллар;NZD;1;Новозеландский доллар;47,9159
Новый туркменский манат;TMT;1;Новый туркменский манат;22,5095
Норвежских крон;NOK;10;Норвежских крон;77,9676
Румынский лей;RON;1;Румынский лей;18,3571
Рупий;IDR;10000;Рупий;48,5237
Рэндов;ZAR;10;Рэндов;45,0156
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);108,3764
Сербских динаров;RSD;100;Сербских динаров;79,2684
Сингапурский доллар;SGD;1;Сингапурский доллар;61,8343
Сомов;KGS;100;Сомов;90,0893
Сомони;TJS;10;Сомони;80,6039
Тенге;KZT;100;Тенге;15,1982
Турецких лир;TRY;10;Турецких лир;19,8122
Узбекских сумов;UZS;10000;Узбекских сумов;62,5674
Форинтов;HUF;100;Форинтов;23,2467
Фунт стерлингов;GBP;1;Фунт стерлингов;107,0977
Чешских крон;CZK;10;Чешских крон;37,6646
Шведских крон;SEK;10;Шведских крон;82,6834
Швейцарский франк;CHF;1;Швейцарский франк;99,4862
Юань;CNY;1;Юань;10,9852
