City;Street;House;Apartment
Владимир;Большая Московская;10;1
Владимир;Большая Московская;10;2
Владимир;Большая Московская;10;3
Владимир;Большая Московская;10;4
Владимир;Большая Московская;10;5
Владимир;Горького;25;1
Владимир;Горького;25;2
Владимир;Горького;25;3
Владимир;Горького;25;4
Владимир;Горького;25;5
Владимир;Мира;42;1
Владимир;Мира;42;2
Владимир;Мира;42;3
Владимир;Мира;42;4
Владимир;Мира;42;5
Владимир;Ленина;8;1
Владимир;Ленина;8;2
Владимир;Ленина;8;3
Владимир;Ленина;8;4
Владимир;Ленина;8;5
Владимир;Дворянская;17;1
Владимир;Дворянская;17;2
Владимир;Дворянская;17;3
Владимир;Дворянская;17;4
Владимир;Дворянская;17;5
Владимир;Суздальский проспект;33;1
Владимир;Суздальский проспект;33;2
Владимир;Суздальский проспект;33;3
Владимир;Суздальский проспект;33;4
Владимир;Суздальский проспект;33;5
Владимир;Чайковского;6;1
Владимир;Чайковского;6;2
Владимир;Чайковского;6;3
Владимир;Чайковского;6;4
Владимир;Чайковского;6;5
Владимир;Никитская;11;1
Владимир;Никитская;11;2
Владимир;Никитская;11;3
Владимир;Никитская;11;4
Владимир;Никитская;11;5
Владимир;Гагарина;19;1
Владимир;Гагарина;19;2
Владимир;Гагарина;19;3
Владимир;Гагарина;19;4
Владимир;Гагарина;19;5
Владимир;Куйбышева;27;1
Владимир;Куйбышева;27;2
Владимир;Куйбышева;27;3
Владимир;Куйбышева;27;4
Владимир;Куйбышева;27;5
Муром;Ленина;13;1
Муром;Ленина;13;2
Муром;Ленина;13;3
Муром;Ленина;13;4
Муром;Ленина;13;5
Муром;Московская;2;1
Муром;Московская;2;2
Муром;Московская;2;3
Муром;Московская;2;4
Муром;Московская;2;5
Муром;Карачарова;9;1
Муром;Карачарова;9;2
Муром;Карачарова;9;3
Муром;Карачарова;9;4
Муром;Карачарова;9;5
Муром;Воровского;21;1
Муром;Воровского;21;2
Муром;Воровского;21;3
Муром;Воровского;21;4
Муром;Воровского;21;5
Муром;Красноармейская;6;1
Муром;Красноармейская;6;2
Муром;Красноармейская;6;3
Муром;Красноармейская;6;4
Муром;Красноармейская;6;5
Муром;Первомайская;15;1
Муром;Первомайская;15;2
Муром;Первомайская;15;3
Муром;Первомайская;15;4
Муром;Первомайская;15;5
Муром;Тимирязева;8;1
Муром;Тимирязева;8;2
Муром;Тимирязева;8;3
Муром;Тимирязева;8;4
Муром;Тимирязева;8;5
Муром;Советская;3;1
Муром;Советская;3;2
Муром;Советская;3;3
Муром;Советская;3;4
Муром;Советская;3;5
Муром;Октябрьская;17;1
Муром;Октябрьская;17;2
Муром;Октябрьская;17;3
Муром;Октябрьская;17;4
Муром;Октябрьская;17;5
Муром;Кирова;11;1
Муром;Кирова;11;2
Муром;Кирова;11;3
Муром;Кирова;11;4
Муром;Кирова;11;5
