;;;;
Акция обыкновенная;common_share;SBER;Сбербанк;Сбербанк России ПАО ао;RUB;RU0009029540
Акция привилегированная ;preferred_share;SBERP;Сбербанк-п;Сбербанк России ПАО ап;RUB;RU0009029557
Биржевая облигация;exchange_bond;RU000A10B0E4;Сбер SbD5R;Сбербанк ПАО 001Р-SBERD5;RUB;RU000A10B0E4
Биржевая облигация;exchange_bond;RU000A10BL99;Сбер SbD6R;Сбербанк ПАО 001Р-SBERD6;RUB;RU000A10BL99
Биржевая облигация;exchange_bond;RU000A1069P3;Сбер Sb44R;Сбербанк ПАО 002Р-SBER44;RUB;RU000A1069P3
Биржевая облигация;exchange_bond;RU000A10AS85;Сбер SbD4R;Сбербанк ПАО 001Р-SBERD4;RUB;RU000A10AS85
Биржевая облигация;exchange_bond;RU000A109X37;Сбер SbD3R;Сбербанк ПАО 001Р-SBERD3;RUB;RU000A109X37
Биржевая облигация;exchange_bond;RU000A109LG9;Сбер SbD2R;Сбербанк ПАО 001Р-SBERD2;RUB;RU000A109LG9
Биржевая облигация;exchange_bond;RU000A103661;Сбер Sb27R;Сбербанк ПАО 001Р-SBER27;RUB;RU000A103661
Биржевая облигация;exchange_bond;RU000A103G42;Сбер Sb29R;Сбербанк ПАО 001Р-SBER29;RUB;RU000A103G42
Биржевая облигация;exchange_bond;RU000A102YG7;Сбер Sb25R;Сбербанк ПАО 001Р-SBER25;RUB;RU000A102YG7
Биржевая облигация;exchange_bond;RU000A10A3L4;Сбер Sb48R;Сбербанк ПАО 002Р-SBER48;RUB;RU000A10A3L4
Биржевая облигация;exchange_bond;RU000A10BJN0;СберИОС712;СберИОС 001Р-712R 9M ЛУКОИЛДИС;RUB;RU000A10BJN0
Биржевая облигация;exchange_bond;RU000A1092X9;Сбер Sb47R;Сбербанк ПАО 002Р-SBER47;RUB;RU000A1092X9
Биржевая облигация;exchange_bond;RU000A10BPW8;СберИОС728;СберИОС 001Р-728R 1Y MOEXДИС;RUB;RU000A10BPW8
Биржевая облигация;exchange_bond;RU000A10BG96;СберИОС708;СберИОС 001Р-708R 1Г СБЕРДИС;RUB;RU000A10BG96
Биржевая облигация;exchange_bond;RU000A104L02;СберИОС531;СберИОС 001Р-531R 3Г GMKN;RUB;RU000A104L02
Биржевая облигация;exchange_bond;RU000A10BPB2;СберИОС726;СберИОС 001Р-726R 3Y1M ОФЗ;RUB;RU000A10BPB2
Биржевая облигация;exchange_bond;RU000A10BG88;СберИОС707;СберИОС 001Р-707R 5Г AC FIVE;RUB;RU000A10BG88
Биржевая облигация;exchange_bond;RU000A10BGR7;СберИОС710;СберИОС 001Р-710R 3Y1M ОФЗ;RUB;RU000A10BGR7
Биржевая облигация;exchange_bond;RU000A10BNR3;СберИОС724;СберИОС 001Р-724R 5Г AC IMOEX;RUB;RU000A10BNR3
Биржевая облигация;exchange_bond;RU000A10BNQ5;СберИОС725;СберИОС 001Р-725R X5 КС;RUB;RU000A10BNQ5
Биржевая облигация;exchange_bond;RU000A101Y75;СберИОС297;СберИОС 001Р-297R GMKN_prt 5Г;RUB;RU000A101Y75
Биржевая облигация;exchange_bond;RU000A106M09;СберИОС579;СберИОС 001Р-579R 5Г AC MOEX;RUB;RU000A106M09
Биржевая облигация;exchange_bond;RU000A107J45;СберИОС601;СберИОС 001Р-601R 5Г AC MOEXMM;RUB;RU000A107J45
Биржевая облигация;exchange_bond;RU000A107P88;СберИОС602;СберИОС 001Р-602R 5Г AC SBER;RUB;RU000A107P88
Биржевая облигация;exchange_bond;RU000A108413;СберИОС615;СберИОС 001Р-615R 5Г AC TCSG;RUB;RU000A108413
Биржевая облигация;exchange_bond;RU000A108C09;СберИОС621;СберИОС 001Р-621R 5Г AC SBER;RUB;RU000A108C09
Биржевая облигация;exchange_bond;RU000A108E64;СберИОС622;СберИОС 001Р-622R 5Г AC SBER;RUB;RU000A108E64
Биржевая облигация;exchange_bond;RU000A109X03;СберИОС656;СберИОС 001Р-656R 5Г AC LKOH;RUB;RU000A109X03
Биржевая облигация;exchange_bond;RU000A10A6X2;СберИОС664;СберИОС 001Р-664R 3Y1M ОФЗ;RUB;RU000A10A6X2
Биржевая облигация;exchange_bond;RU000A10ASA0;СберИОС677;СберИОС 001Р-677R 3Y1M ОФЗ;RUB;RU000A10ASA0
Биржевая облигация;exchange_bond;RU000A10AYH3;СберИОС683;СберИОС 001Р-683R 5Г AC MOEX;RUB;RU000A10AYH3
Биржевая облигация;exchange_bond;RU000A10AYQ4;СберИОС685;СберИОС 001Р-685R 3Y1M ОФЗ;RUB;RU000A10AYQ4
Биржевая облигация;exchange_bond;RU000A10B4M9;СберИОС694;СберИОС 001Р-694R 5Г AC LKOH;RUB;RU000A10B4M9
